player_one_throw,p1_-1,p1_-2,p1_-3,p1_-4,p1_-5,p2_last
3,3.0,1.0,2.0,2.0,2.0,1.0
1,2.0,2.0,2.0,1.0,3.0,2.0
2,1.0,2.0,2.0,2.0,1.0,3.0
3,1.0,2.0,1.0,1.0,3.0,2.0
2,3.0,2.0,1.0,3.0,1.0,1.0
2,1.0,2.0,1.0,1.0,2.0,2.0
3,2.0,2.0,3.0,1.0,3.0,1.0
1,3.0,2.0,2.0,3.0,1.0,1.0
2,3.0,1.0,3.0,2.0,3.0,2.0
2,2.0,3.0,1.0,3.0,2.0,2.0
3,1.0,2.0,2.0,2.0,2.0,2.0
3,3.0,1.0,2.0,2.0,2.0,2.0
2,1.0,2.0,3.0,2.0,1.0,2.0
2,3.0,2.0,1.0,3.0,1.0,1.0
2,2.0,3.0,2.0,1.0,3.0,3.0
3,2.0,2.0,3.0,2.0,1.0,1.0
3,3.0,2.0,2.0,3.0,2.0,1.0
2,3.0,3.0,2.0,2.0,3.0,3.0
3,2.0,3.0,3.0,2.0,2.0,2.0
2,3.0,2.0,3.0,3.0,2.0,2.0
2,2.0,3.0,2.0,3.0,3.0,1.0
1,2.0,3.0,1.0,3.0,3.0,3.0
3,1.0,2.0,3.0,1.0,3.0,2.0
3,3.0,1.0,2.0,3.0,1.0,2.0
3,3.0,2.0,3.0,1.0,2.0,1.0
2,3.0,3.0,2.0,3.0,1.0,2.0
3,2.0,2.0,1.0,2.0,3.0,2.0
2,2.0,3.0,1.0,2.0,1.0,1.0
3,1.0,2.0,1.0,1.0,1.0,2.0
3,3.0,1.0,2.0,1.0,1.0,3.0
2,3.0,1.0,2.0,1.0,3.0,2.0
1,2.0,3.0,1.0,2.0,1.0,2.0
3,3.0,2.0,1.0,1.0,3.0,2.0
2,1.0,3.0,3.0,3.0,1.0,2.0
2,2.0,1.0,3.0,3.0,3.0,3.0
2,3.0,1.0,2.0,3.0,1.0,1.0
1,1.0,2.0,3.0,2.0,2.0,2.0
2,1.0,1.0,2.0,3.0,2.0,1.0
3,2.0,1.0,1.0,2.0,3.0,3.0
1,1.0,1.0,3.0,1.0,1.0,2.0
1,1.0,1.0,1.0,3.0,1.0,3.0
1,1.0,1.0,1.0,1.0,3.0,3.0
1,1.0,2.0,3.0,3.0,1.0,2.0
3,1.0,1.0,1.0,3.0,2.0,2.0
2,3.0,1.0,1.0,1.0,3.0,1.0
2,2.0,3.0,1.0,1.0,1.0,3.0
1,3.0,3.0,2.0,1.0,1.0,1.0
3,1.0,3.0,3.0,2.0,1.0,2.0
1,3.0,1.0,3.0,3.0,2.0,1.0
2,1.0,3.0,1.0,3.0,3.0,3.0
3,2.0,1.0,3.0,2.0,1.0,2.0
2,1.0,3.0,2.0,2.0,1.0,1.0
1,2.0,1.0,3.0,2.0,2.0,1.0
3,1.0,2.0,1.0,3.0,2.0,3.0
1,3.0,1.0,2.0,1.0,3.0,3.0
2,1.0,3.0,1.0,2.0,1.0,1.0
3,2.0,1.0,3.0,1.0,2.0,2.0
1,3.0,2.0,1.0,3.0,1.0,1.0
2,1.0,3.0,2.0,1.0,3.0,1.0
2,1.0,1.0,2.0,3.0,1.0,1.0
3,2.0,1.0,1.0,2.0,3.0,1.0
1,1.0,3.0,1.0,1.0,2.0,1.0
3,1.0,3.0,2.0,3.0,1.0,1.0
2,3.0,1.0,3.0,2.0,3.0,2.0
2,2.0,3.0,1.0,3.0,2.0,2.0
1,2.0,2.0,1.0,3.0,1.0,1.0
3,1.0,2.0,2.0,1.0,3.0,2.0
3,3.0,1.0,2.0,2.0,1.0,1.0
1,3.0,3.0,1.0,2.0,2.0,2.0
2,1.0,3.0,3.0,1.0,2.0,1.0
3,2.0,1.0,3.0,3.0,1.0,1.0
1,2.0,3.0,1.0,1.0,1.0,1.0
2,1.0,2.0,3.0,1.0,1.0,1.0
1,1.0,3.0,1.0,2.0,1.0,1.0
2,1.0,1.0,3.0,1.0,2.0,1.0
2,2.0,1.0,1.0,3.0,1.0,2.0
3,2.0,2.0,1.0,1.0,3.0,3.0
3,3.0,1.0,2.0,2.0,3.0,1.0
1,1.0,1.0,3.0,2.0,2.0,1.0
2,1.0,1.0,1.0,3.0,2.0,1.0
1,2.0,1.0,1.0,1.0,3.0,1.0
3,1.0,2.0,1.0,1.0,1.0,1.0
2,3.0,1.0,2.0,1.0,1.0,1.0
1,2.0,3.0,1.0,2.0,1.0,1.0
2,1.0,3.0,2.0,3.0,3.0,3.0
1,2.0,1.0,3.0,2.0,3.0,1.0
2,1.0,2.0,1.0,3.0,2.0,1.0
3,2.0,1.0,2.0,1.0,3.0,2.0
1,1.0,1.0,3.0,2.0,1.0,3.0
1,1.0,1.0,1.0,3.0,2.0,3.0
2,1.0,1.0,1.0,1.0,3.0,1.0
3,1.0,1.0,1.0,3.0,1.0,3.0
1,3.0,1.0,1.0,1.0,3.0,3.0
3,3.0,1.0,3.0,2.0,2.0,2.0
1,3.0,3.0,1.0,3.0,2.0,1.0
2,2.0,2.0,2.0,1.0,3.0,3.0
3,2.0,2.0,2.0,2.0,1.0,3.0
1,3.0,2.0,2.0,2.0,2.0,2.0
1,1.0,3.0,2.0,2.0,2.0,2.0
2,3.0,1.0,2.0,3.0,1.0,2.0
2,1.0,1.0,3.0,2.0,2.0,2.0
1,3.0,3.0,2.0,2.0,3.0,1.0
1,1.0,3.0,3.0,2.0,2.0,2.0
2,1.0,1.0,3.0,3.0,2.0,2.0
2,2.0,2.0,1.0,3.0,1.0,1.0
1,2.0,2.0,2.0,1.0,3.0,3.0
3,3.0,3.0,2.0,1.0,2.0,2.0
2,3.0,3.0,3.0,2.0,1.0,1.0
3,2.0,3.0,3.0,3.0,2.0,2.0
1,1.0,1.0,1.0,3.0,2.0,3.0
3,3.0,2.0,2.0,2.0,1.0,3.0
2,3.0,3.0,2.0,2.0,2.0,2.0
3,2.0,3.0,3.0,2.0,2.0,2.0
2,2.0,1.0,2.0,1.0,1.0,1.0
1,2.0,2.0,1.0,2.0,1.0,1.0
2,1.0,2.0,2.0,1.0,2.0,1.0
1,2.0,1.0,2.0,2.0,1.0,1.0
1,1.0,2.0,1.0,2.0,2.0,1.0
3,2.0,1.0,2.0,3.0,1.0,3.0
3,1.0,1.0,3.0,2.0,2.0,2.0
1,3.0,1.0,1.0,3.0,2.0,3.0
2,1.0,3.0,1.0,1.0,3.0,2.0
3,3.0,2.0,1.0,2.0,3.0,3.0
1,2.0,1.0,3.0,1.0,1.0,1.0
3,1.0,2.0,1.0,3.0,1.0,1.0
3,3.0,1.0,3.0,3.0,3.0,3.0
3,3.0,3.0,1.0,3.0,3.0,2.0
1,3.0,3.0,3.0,1.0,3.0,1.0
3,1.0,3.0,3.0,3.0,1.0,2.0
1,2.0,2.0,3.0,2.0,2.0,1.0
2,1.0,3.0,2.0,1.0,3.0,3.0
1,1.0,1.0,2.0,1.0,1.0,2.0
3,2.0,3.0,3.0,2.0,1.0,1.0
1,3.0,2.0,3.0,3.0,2.0,2.0
1,1.0,3.0,2.0,3.0,3.0,3.0
3,1.0,1.0,3.0,2.0,3.0,1.0
3,1.0,2.0,1.0,3.0,2.0,3.0
2,3.0,1.0,2.0,1.0,3.0,3.0
2,1.0,3.0,2.0,3.0,2.0,1.0
3,2.0,1.0,3.0,2.0,3.0,3.0
3,3.0,3.0,2.0,1.0,1.0,1.0
2,3.0,3.0,3.0,2.0,1.0,1.0
3,2.0,2.0,1.0,2.0,2.0,1.0
1,3.0,2.0,2.0,1.0,2.0,2.0
2,2.0,2.0,2.0,3.0,2.0,3.0
1,2.0,2.0,3.0,1.0,1.0,2.0
1,1.0,2.0,2.0,3.0,1.0,1.0
3,1.0,1.0,2.0,2.0,3.0,2.0
3,3.0,1.0,1.0,2.0,2.0,3.0
3,3.0,3.0,1.0,1.0,2.0,2.0
1,3.0,3.0,3.0,1.0,1.0,1.0
1,1.0,3.0,3.0,3.0,1.0,1.0
2,1.0,3.0,1.0,3.0,1.0,3.0
1,2.0,1.0,3.0,1.0,3.0,3.0
2,1.0,2.0,1.0,3.0,1.0,1.0
3,2.0,1.0,2.0,1.0,3.0,3.0
1,3.0,3.0,2.0,3.0,2.0,2.0
2,1.0,3.0,3.0,2.0,3.0,1.0
2,3.0,3.0,2.0,1.0,2.0,2.0
3,1.0,1.0,1.0,3.0,2.0,1.0
1,3.0,1.0,1.0,1.0,3.0,3.0
1,1.0,3.0,1.0,1.0,1.0,2.0
2,1.0,1.0,3.0,1.0,1.0,1.0
2,2.0,1.0,1.0,3.0,1.0,3.0
3,3.0,1.0,1.0,3.0,2.0,1.0
3,3.0,3.0,1.0,1.0,3.0,1.0
1,2.0,2.0,1.0,1.0,2.0,1.0
3,1.0,3.0,1.0,1.0,1.0,1.0
2,3.0,3.0,2.0,2.0,1.0,3.0
1,3.0,2.0,2.0,3.0,1.0,1.0
3,2.0,2.0,1.0,2.0,1.0,1.0
1,3.0,1.0,2.0,1.0,1.0,1.0
2,3.0,2.0,2.0,1.0,2.0,2.0
2,2.0,3.0,2.0,2.0,1.0,1.0
1,1.0,3.0,1.0,2.0,1.0,1.0
2,1.0,1.0,3.0,1.0,1.0,1.0
3,2.0,3.0,1.0,2.0,1.0,1.0
1,3.0,2.0,3.0,1.0,2.0,2.0
3,2.0,1.0,2.0,2.0,3.0,3.0
3,3.0,2.0,1.0,2.0,2.0,2.0
3,3.0,3.0,2.0,1.0,2.0,1.0
2,3.0,3.0,3.0,2.0,1.0,1.0
3,2.0,3.0,3.0,3.0,2.0,3.0
1,3.0,2.0,3.0,3.0,3.0,1.0
2,2.0,3.0,1.0,3.0,3.0,1.0
1,1.0,3.0,1.0,1.0,1.0,1.0
2,1.0,1.0,3.0,1.0,2.0,1.0
3,2.0,1.0,1.0,3.0,1.0,1.0
1,3.0,2.0,1.0,1.0,3.0,1.0
1,2.0,1.0,3.0,3.0,3.0,1.0
1,1.0,1.0,1.0,1.0,3.0,3.0
3,3.0,1.0,1.0,2.0,2.0,3.0
2,3.0,3.0,1.0,1.0,2.0,1.0
3,3.0,2.0,1.0,1.0,2.0,1.0
2,3.0,3.0,2.0,1.0,1.0,2.0
2,2.0,3.0,3.0,2.0,1.0,1.0
1,3.0,2.0,2.0,3.0,1.0,2.0
2,3.0,1.0,1.0,2.0,2.0,3.0
3,3.0,3.0,2.0,2.0,2.0,1.0
1,1.0,1.0,1.0,1.0,1.0,1.0
1,1.0,1.0,1.0,1.0,1.0,1.0
2,1.0,1.0,1.0,1.0,1.0,1.0
1,2.0,1.0,1.0,1.0,1.0,1.0
1,1.0,2.0,1.0,1.0,1.0,1.0
3,1.0,1.0,2.0,1.0,1.0,1.0
3,3.0,1.0,1.0,2.0,1.0,1.0
3,3.0,3.0,1.0,1.0,2.0,1.0
1,3.0,3.0,3.0,1.0,1.0,1.0
1,1.0,3.0,3.0,3.0,1.0,1.0
1,1.0,1.0,3.0,3.0,3.0,2.0
3,1.0,1.0,3.0,2.0,3.0,2.0
3,3.0,1.0,1.0,3.0,2.0,2.0
1,3.0,3.0,1.0,1.0,3.0,1.0
2,3.0,1.0,3.0,1.0,2.0,3.0
3,2.0,3.0,1.0,3.0,1.0,2.0
2,3.0,2.0,3.0,1.0,3.0,3.0
2,1.0,1.0,2.0,2.0,2.0,2.0
2,2.0,1.0,1.0,2.0,2.0,3.0
3,2.0,2.0,1.0,1.0,2.0,2.0
2,3.0,2.0,2.0,1.0,1.0,1.0
2,2.0,1.0,2.0,3.0,1.0,1.0
1,1.0,1.0,1.0,3.0,2.0,2.0
2,1.0,1.0,1.0,1.0,3.0,3.0
3,2.0,1.0,1.0,1.0,1.0,1.0
1,3.0,2.0,1.0,1.0,1.0,2.0
1,1.0,3.0,2.0,1.0,1.0,3.0
1,1.0,1.0,3.0,2.0,1.0,1.0
3,3.0,3.0,1.0,1.0,2.0,2.0
2,3.0,3.0,3.0,1.0,1.0,1.0
1,2.0,3.0,3.0,3.0,1.0,2.0
1,1.0,2.0,3.0,3.0,3.0,1.0
2,1.0,1.0,2.0,3.0,3.0,3.0
3,1.0,2.0,3.0,3.0,1.0,2.0
3,3.0,1.0,2.0,3.0,3.0,3.0
2,3.0,1.0,2.0,3.0,2.0,1.0
1,2.0,3.0,1.0,2.0,3.0,3.0
3,1.0,2.0,3.0,1.0,2.0,2.0
3,3.0,1.0,2.0,3.0,1.0,1.0
1,3.0,3.0,1.0,2.0,3.0,3.0
1,1.0,3.0,3.0,1.0,2.0,2.0
2,1.0,2.0,3.0,2.0,1.0,1.0
1,3.0,1.0,2.0,1.0,1.0,1.0
2,1.0,3.0,1.0,2.0,1.0,3.0
3,2.0,1.0,3.0,1.0,2.0,2.0
3,3.0,2.0,1.0,3.0,1.0,2.0
2,1.0,1.0,1.0,3.0,1.0,1.0
2,2.0,2.0,2.0,1.0,3.0,3.0
1,2.0,1.0,1.0,1.0,3.0,3.0
3,2.0,1.0,3.0,3.0,1.0,1.0
3,3.0,2.0,1.0,3.0,3.0,3.0
2,2.0,2.0,3.0,1.0,1.0,1.0
2,2.0,3.0,1.0,2.0,1.0,1.0
3,2.0,2.0,3.0,1.0,2.0,1.0
2,3.0,2.0,2.0,3.0,1.0,1.0
1,2.0,1.0,2.0,1.0,1.0,1.0
2,1.0,2.0,1.0,2.0,3.0,3.0
3,1.0,2.0,1.0,2.0,1.0,3.0
3,1.0,3.0,2.0,3.0,3.0,3.0
3,3.0,1.0,3.0,2.0,3.0,1.0
2,1.0,3.0,1.0,3.0,2.0,1.0
3,3.0,2.0,1.0,1.0,2.0,2.0
3,3.0,3.0,2.0,1.0,1.0,1.0
1,3.0,3.0,3.0,2.0,1.0,1.0
3,1.0,2.0,2.0,3.0,1.0,1.0
3,3.0,1.0,2.0,2.0,3.0,1.0
2,3.0,3.0,1.0,2.0,2.0,2.0
1,2.0,3.0,2.0,1.0,1.0,1.0
1,1.0,2.0,3.0,2.0,1.0,2.0
2,1.0,1.0,2.0,3.0,2.0,2.0
3,1.0,3.0,3.0,1.0,2.0,1.0
2,2.0,1.0,3.0,3.0,2.0,3.0
3,3.0,2.0,1.0,2.0,2.0,2.0
2,3.0,3.0,2.0,1.0,2.0,1.0
3,2.0,3.0,3.0,2.0,1.0,1.0
2,1.0,2.0,2.0,2.0,2.0,3.0
2,2.0,1.0,2.0,2.0,2.0,2.0
2,2.0,2.0,1.0,2.0,2.0,1.0
3,2.0,3.0,3.0,2.0,1.0,1.0
2,3.0,2.0,3.0,3.0,2.0,3.0
2,1.0,1.0,3.0,2.0,2.0,2.0
1,2.0,1.0,1.0,3.0,2.0,2.0
2,1.0,2.0,1.0,1.0,3.0,1.0
2,2.0,1.0,2.0,1.0,1.0,3.0
1,3.0,2.0,1.0,2.0,3.0,2.0
2,1.0,3.0,2.0,1.0,2.0,2.0
2,1.0,3.0,2.0,1.0,2.0,2.0
1,2.0,1.0,3.0,2.0,1.0,1.0
1,1.0,2.0,1.0,3.0,2.0,3.0
2,1.0,1.0,2.0,1.0,3.0,3.0
2,2.0,1.0,1.0,2.0,1.0,1.0
1,2.0,3.0,1.0,2.0,1.0,1.0
1,1.0,2.0,3.0,1.0,2.0,2.0
3,1.0,1.0,2.0,3.0,1.0,1.0
1,2.0,3.0,1.0,2.0,1.0,1.0
3,1.0,2.0,3.0,1.0,2.0,3.0
3,1.0,1.0,1.0,3.0,3.0,1.0
3,3.0,1.0,1.0,1.0,3.0,2.0
3,1.0,2.0,3.0,2.0,1.0,3.0
3,3.0,1.0,2.0,3.0,2.0,2.0
1,3.0,3.0,1.0,2.0,3.0,1.0
3,1.0,1.0,1.0,2.0,1.0,3.0
2,3.0,1.0,1.0,1.0,2.0,3.0
3,1.0,1.0,3.0,3.0,1.0,2.0
3,3.0,1.0,1.0,3.0,3.0,3.0
1,3.0,3.0,1.0,1.0,3.0,3.0
1,1.0,3.0,2.0,1.0,1.0,1.0
1,1.0,1.0,3.0,2.0,1.0,1.0
1,1.0,1.0,1.0,3.0,2.0,3.0
2,1.0,1.0,1.0,1.0,3.0,3.0
1,2.0,1.0,1.0,1.0,1.0,2.0
2,1.0,2.0,1.0,1.0,1.0,3.0
1,3.0,1.0,2.0,2.0,3.0,1.0
2,1.0,3.0,1.0,2.0,2.0,3.0
2,2.0,1.0,3.0,1.0,2.0,2.0
2,3.0,1.0,3.0,2.0,1.0,1.0
2,2.0,3.0,1.0,3.0,2.0,1.0
3,2.0,2.0,3.0,1.0,3.0,3.0
1,3.0,2.0,2.0,3.0,1.0,1.0
1,1.0,3.0,2.0,2.0,3.0,3.0
1,1.0,3.0,2.0,3.0,1.0,2.0
2,1.0,1.0,3.0,2.0,3.0,3.0
3,2.0,1.0,3.0,3.0,1.0,1.0
2,3.0,2.0,1.0,3.0,3.0,3.0
2,2.0,3.0,2.0,1.0,3.0,1.0
1,2.0,2.0,3.0,2.0,1.0,2.0
2,1.0,2.0,2.0,3.0,2.0,2.0
1,2.0,1.0,2.0,2.0,3.0,3.0
1,1.0,3.0,3.0,2.0,3.0,3.0
3,1.0,1.0,3.0,3.0,2.0,1.0
2,3.0,1.0,1.0,3.0,3.0,1.0
1,2.0,3.0,1.0,1.0,3.0,3.0
1,1.0,3.0,1.0,2.0,1.0,1.0
2,3.0,1.0,2.0,3.0,3.0,3.0
1,3.0,3.0,2.0,2.0,2.0,3.0
1,1.0,3.0,3.0,2.0,2.0,2.0
3,1.0,1.0,3.0,3.0,2.0,1.0
2,3.0,2.0,2.0,2.0,2.0,1.0
3,2.0,3.0,2.0,1.0,1.0,1.0
3,3.0,2.0,3.0,2.0,1.0,1.0
1,3.0,3.0,2.0,2.0,2.0,3.0
3,1.0,3.0,3.0,2.0,2.0,3.0
1,3.0,1.0,3.0,3.0,2.0,1.0
1,1.0,1.0,2.0,3.0,1.0,1.0
2,1.0,1.0,1.0,2.0,3.0,1.0
1,2.0,1.0,1.0,1.0,2.0,3.0
1,1.0,2.0,3.0,2.0,1.0,1.0
3,1.0,1.0,2.0,3.0,2.0,1.0
2,2.0,2.0,3.0,2.0,2.0,2.0
1,2.0,2.0,2.0,3.0,2.0,2.0
3,1.0,2.0,2.0,2.0,3.0,1.0
3,1.0,2.0,1.0,2.0,2.0,2.0
3,3.0,1.0,2.0,1.0,2.0,3.0
1,3.0,3.0,1.0,2.0,1.0,1.0
3,1.0,3.0,3.0,2.0,1.0,3.0
3,2.0,1.0,1.0,2.0,1.0,1.0
3,3.0,2.0,1.0,1.0,2.0,2.0
2,3.0,3.0,2.0,1.0,1.0,1.0
3,2.0,3.0,3.0,2.0,1.0,1.0
1,3.0,2.0,3.0,3.0,2.0,1.0
3,2.0,1.0,3.0,3.0,2.0,2.0
3,3.0,2.0,1.0,3.0,3.0,2.0
3,1.0,2.0,2.0,3.0,1.0,2.0
1,3.0,2.0,1.0,2.0,1.0,1.0
2,1.0,3.0,1.0,2.0,1.0,1.0
3,2.0,1.0,3.0,1.0,2.0,2.0
2,3.0,1.0,3.0,2.0,2.0,1.0
3,2.0,2.0,2.0,2.0,3.0,1.0
2,3.0,2.0,2.0,2.0,2.0,2.0
1,2.0,3.0,2.0,2.0,2.0,2.0
1,1.0,2.0,3.0,2.0,2.0,2.0
2,1.0,1.0,2.0,3.0,2.0,2.0
1,2.0,3.0,2.0,1.0,1.0,1.0
1,1.0,2.0,3.0,1.0,1.0,1.0
3,1.0,1.0,2.0,3.0,1.0,1.0
3,3.0,1.0,1.0,2.0,3.0,1.0
1,1.0,3.0,1.0,3.0,1.0,1.0
1,1.0,1.0,3.0,1.0,3.0,3.0
2,1.0,1.0,1.0,3.0,1.0,2.0
3,2.0,1.0,1.0,1.0,3.0,3.0
3,3.0,2.0,1.0,1.0,1.0,3.0
3,3.0,2.0,2.0,1.0,3.0,1.0
1,3.0,3.0,2.0,2.0,1.0,3.0
3,2.0,1.0,3.0,3.0,1.0,1.0
2,3.0,2.0,1.0,3.0,3.0,3.0
2,2.0,3.0,2.0,1.0,3.0,3.0
1,2.0,2.0,3.0,2.0,1.0,3.0
3,1.0,2.0,2.0,3.0,2.0,3.0
3,3.0,1.0,2.0,2.0,3.0,1.0
2,3.0,3.0,1.0,2.0,2.0,2.0
1,3.0,1.0,3.0,2.0,3.0,2.0
2,1.0,3.0,1.0,3.0,2.0,1.0
2,2.0,2.0,3.0,2.0,1.0,1.0
2,1.0,3.0,3.0,3.0,3.0,2.0
2,2.0,1.0,3.0,3.0,3.0,2.0
2,2.0,2.0,1.0,3.0,3.0,3.0
3,1.0,1.0,1.0,2.0,2.0,2.0
2,3.0,1.0,1.0,1.0,2.0,2.0
1,2.0,3.0,1.0,1.0,1.0,2.0
2,1.0,2.0,3.0,1.0,1.0,3.0
1,2.0,1.0,1.0,2.0,2.0,2.0
3,2.0,2.0,1.0,3.0,3.0,3.0
3,3.0,2.0,2.0,1.0,3.0,2.0
